"id","category","sub_category","year","end_year","country","region","country_income_group","sids","lldc","fcs","ida","recipient_institution","recipient_institution_type","implementing_agency","provider","provider_region","provider_country","provider_type","sector_name","program_scheme_project","fund_name","fund_type","bi_multi_code","allocable","type_of_aid","channel_code","gender","environment","biodiversity","ocean_oda","sustainable_ocean_oda","land_based_oda","plastic_oda","plastic_specific_oda","solid_waste_oda","wastewater_oda","ft_concessional_loan","ft_commercial_loan","ft_equity","ft_grant","ft_others","commitment","created_at","updated_at","sources_intermediaries","archetype","pathways","convertible_bonds","public_offering"
"25","public finance","Development Finance","2024","2022","Angola","Africa","High income","1","0","1","0","UNEP","Government agency","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","Intergovernmental Organisation","Post-Secondary Education","dyDlu09Jdc8dQFQ5","Forest Investment Program (FIP)","Multi Donor National","3","0","B03","41107","0","2","1","0","0","0","1","0","1","0","61","37","95","41","48","176","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Multilateral Institution","Circular Use","Circular Pathways","190","129"
"26","public finance","MEA Finance","2020","2024","Canada","North America","Low income","1","0","1","0","Ministry of Environment and Renewable Energy","National Institute","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Regional Government","General Environment Protection","EoJ7gqAPepsGNmKE","Adaptation Fund (AF)","Multi Donor National","3","1","B03","41107","0","0",,"0","1","1","0","1","1","1","23","78","51","95","53","472","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Plastic Waste-to-Fuel","Non-circular Pathways","34","165"
"27","public finance","Domestic Finance","2019","2021","Spain","Europe","Lower middle income","0","1","1","0","Ministry of Environment and Renewable Energy","Government","World Bank","South Korea","Asia","South Korea","Research Institute","Water Supply & Sanitation","5B57gJVGdacX9SEf","Amazon Fund","Multi Donor Regional","1","0","B03","22000",,"0",,"1","1","0","1","1","1","1","49","49","96","68","36","696","10/10/2024 16:12:52","10/10/2024 16:12:52","ILBI*","Plastic Waste-to-Energy","Non-circular Pathways","91","63"
"28","public finance","MEA Finance","2021","2018","Chile","Latin America and the Caribbean","Upper middle income","0","0","1","1","UNEP","Regional Development Bank","World Bank","South Korea","Asia","South Korea","Foundation","Post-Secondary Education","HFWmHFoj8VmpB2rb","Amazon Fund","Multilateral","8","1","C01","22000",,"1","1","0","0","0","0","1","1","1","68","41","81","60","54","415","10/10/2024 16:12:52","10/10/2024 16:12:52","World Bank Group (WB)","Circular Design and Production","Circular Pathways","81","73"
"29","private finance","Private Finance","2024","2022","Cuba","Latin America and the Caribbean","Upper middle income","1","0","1","1","UNEP","Regional Government","World Bank","UNEP","Africa","Kenya","Government","Post-Secondary Education","sMIiivCKGSH4GM8f","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor Regional","8","1","B04","11001","2","1","0","0","0","1","1","0","0","0","13","63","11","96","55","238","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Multilateral Institution","Other Services","Supporting Pathways","41","50"
"30","public finance","MEA Finance","2021","2020","France","Europe","Lower middle income","1","1","1","1","Ministry of Environment and Renewable Energy","Government agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","National Institute","Post-Secondary Education","9CwcR8vzm6p5sthv","Adaptation Fund (AF)","Multi Donor Regional","8","1","D01","21000",,"1","2","1","0","1","0","1","0","1","4","44","95","46","17","332","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Clean-up","Non-circular Pathways","102","116"
"31","public finance","Development Finance","2023","2020","Australia","Oceania","Upper middle income","1","1","1","1","Economic Affairs and Investment Division Ministry of Finance","Corporation","World Bank","UNEP","Africa","Kenya","Government","Post-Secondary Education","hk6sLhiYm4OnikKU","Global Climate Change Alliance (GCCA)","Multilateral","8","1","B03","11001","0","2","2","1","0","0","1","1","1","1","93","42","50","49","57","777","10/10/2024 16:12:52","10/10/2024 16:12:52","Commercial Banks and Similar FIs","Other Services","Supporting Pathways","39","187"
"32","private finance","Private Finance","2024","2019","United Kingdom","Europe","Upper middle income","0","1","1","0","UNEP","International Agency","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Research Institute","Water Supply & Sanitation","ndAOSCl7asGdRGEk","Amazon Fund","Multilateral","7","0","B03","22000",,"2","1","1","1","0","0","0","1","0","21","57","21","60","20","248","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Multilateral Institution","Incineration","Non-circular Pathways","198","192"
"33","public finance","MEA Finance","2021","2023","Canada","North America","Low income","0","1","1","0","UNEP","Government agency","International Union for Conservation of Nature (IUCN)","UNEP","Africa","Kenya","International Agency","General Environment Protection","shpEa1Ctdkv9blne","Global Climate Change Alliance (GCCA)","Multilateral","8","0","E01","21000",,,,"1","1","1","1","1","1","1","16","23","58","61","32","256","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Digital Mapping","Supporting Pathways","190","25"
"34","public finance","Development Finance","2021","2018","Canada","North America","Low income","1","0","0","1","UNEP","Government agency","World Bank","UNEP","Africa","Kenya","Foundation","Transport & Storage","PDPBksF1CBiUr6v1","Amazon Fund","Multi Donor National","7","1","D01","11001","0","1","1","1","0","1","0","0","1","0","79","17","69","6","75","821","10/10/2024 16:12:52","10/10/2024 16:12:52","Regional Development Bank","Recovery for controlled disposal","Non-circular Pathways","80","144"
"35","public finance","MEA Finance","2020","2020","Angola","Africa","Low income","1","1","1","1","Ministry of Environment and Renewable Energy","Foundation","World Bank","UNEP","Africa","Kenya","Research Institute","Water Supply & Sanitation","s3PFsOqHTXALB06u","Adaptation Fund (AF)","Multi Donor National","8","1","B04","41107","0","1",,"1","1","1","0","1","0","1","22","94","14","48","53","864","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Equity, Venture Capital","Value Recovery","Circular Pathways","37","90"
"36","public finance","Development Finance","2022","2024","Argentina","Latin America and the Caribbean","Lower middle income","0","0","1","0","UNEP","Regional Government","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","International Agency","Water Supply & Sanitation","wx6THFz47GUQFkDY","Adaptation for Smallholder Agriculture Programme (ASAP)","Multi Donor National","3","1","E01","21000","0","0",,"1","1","0","1","0","0","0","77","13","18","38","70","665","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Clean-up","Non-circular Pathways","148","44"
"37","public finance","Domestic Finance","2018","2020","Fiji","Oceania","Low income","1","1","0","0","Ministry of Environment and Renewable Energy","Regional Government","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Corporation","Post-Secondary Education","6ntWxsoSoWUQtndo","Global Environment Facility (GEF4)","Multi Donor Regional","3","0","D01","22000","1","0","0","0","1","0","0","1","1","0","28","96","51","24","13","218","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Circular Design and Production","Circular Pathways","190","131"
"38","private finance","Private Finance","2022","2020","Egypt","Africa","Lower middle income","1","0","1","0","UNEP","Regional agency","World Bank","UNEP","Africa","Kenya","Intergovernmental Organisation","Transport & Storage","byIWTdnMUR8wjghA","Adaptation for Smallholder Agriculture Programme (ASAP)","Multilateral","7","0","C01","22000","2",,,"0","1","0","0","0","1","1","82","39","65","54","71","820","10/10/2024 16:12:52","10/10/2024 16:12:52","Commercial Banks and Similar FIs","Plastic Waste-to-Energy","Non-circular Pathways","189","39"
"39","public finance","Development Finance","2020","2024","Bangladesh","Asia","Low income","1","1","1","0","Economic Affairs and Investment Division Ministry of Finance","International Agency","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","National Institute","Water Supply & Sanitation","d4gY86IOwq4c14LK","Amazon Fund","Multi Donor National","1","0","C01","41107",,"2","1","1","1","1","0","1","1","1","15","34","9","93","31","978","10/10/2024 16:12:52","10/10/2024 16:12:52","Central Government","Value Recovery","Circular Pathways","40","161"
"40","private finance","Private Finance","2024","2024","Chile","Latin America and the Caribbean","High income","1","0","1","1","UNEP","International Agency","World Bank","South Korea","Asia","South Korea","Foundation","General Environment Protection","z3IAYr5h0kJzdnrQ","Adaptation Fund (AF)","Multi Donor National","3","0","D02","22000",,"0","1","1","0","0","0","1","0","0","17","5","75","95","65","399","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Digital Mapping","Supporting Pathways","190","142"
"41","public finance","MEA Finance","2022","2018","Somalia","Africa","Low income","1","1","0","0","Ministry of Environment and Renewable Energy","Intergovernmental Organisation","World Bank","South Korea","Asia","South Korea","Government agency","Post-Secondary Education","LqP02IgdRkkm2Pey","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor National","3","1","B04","11001","0",,"1","0","0","0","1","1","0","0","80","9","9","96","40","556","10/10/2024 16:12:52","10/10/2024 16:12:52","Public Corporations","Managed Landfilling","Non-circular Pathways","154","33"
"42","public finance","Development Finance","2020","2024","China","Asia","Lower middle income","0","1","0","1","Ministry of Environment and Renewable Energy","Corporation","The United Nations Environment Programme (UNEP)","Sweden","Europe","Sweden","Foundation","General Environment Protection","ZYx7Sd69QQ3aBGEF","Adaptation Fund (AF)","Multi Donor National","1","0","E01","22000","0","0","1","1","1","1","0","1","0","1","70","74","62","92","10","155","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Investors","Recovery for controlled disposal","Non-circular Pathways","74","121"
"43","public finance","Domestic Finance","2021","2018","Australia","Oceania","Lower middle income","1","0","1","0","UNEP","Non-profit organization","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","Government agency","Transport & Storage","PL9tD2kNQ9shuwuq","Global Climate Change Alliance (GCCA)","Multi Donor Regional","3","0","D02","21000",,"2",,"1","0","1","0","1","1","1","65","98","56","6","38","528","10/10/2024 16:12:52","10/10/2024 16:12:52","ILBI*","Managed Landfilling","Non-circular Pathways","55","160"
"44","public finance","Domestic Finance","2020","2019","Canada","North America","High income","1","1","0","0","Ministry of Environment and Renewable Energy","Research Institute","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","Non-profit organization","Transport & Storage","CD8OdsB88BQSstSr","Amazon Fund","Multi Donor National","8","0","D02","22000","0","1",,"1","1","0","1","0","1","0","59","11","64","68","41","660","10/10/2024 16:12:52","10/10/2024 16:12:52","International Monetary Fund (IMF)","Research and Development","Supporting Pathways","113","128"
"45","public finance","Domestic Finance","2024","2021","Canada","North America","Upper middle income","0","0","1","0","Ministry of Environment and Renewable Energy","Non-profit regional funds","International Union for Conservation of Nature (IUCN)","South Korea","Asia","South Korea","International Agency","Post-Secondary Education","rwGN7yDtovNknzb2","Global Climate Change Alliance (GCCA)","Multi Donor Regional","7","1","D01","11001","0",,"0","0","1","1","0","1","1","0","6","83","7","100","79","195","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Research and Development","Supporting Pathways","161","72"
"46","public finance","Domestic Finance","2023","2018","Malaysia","Asia","High income","1","0","0","0","Ministry of Environment and Renewable Energy","Regional agency","World Bank","UNEP","Africa","Kenya","Regional Government","Transport & Storage","GBlCwCSTB80DCtHK","Global Environment Facility (GEF4)","Multi Donor Regional","4","1","E01","11001","0","2","0","0","1","0","0","0","0","0","63","83","17","72","78","126","10/10/2024 16:12:52","10/10/2024 16:12:52","Other Public Entities","Plastic Waste-to-Fuel","Non-circular Pathways","99","197"
"47","public finance","Development Finance","2020","2020","Malaysia","Asia","High income","1","1","1","1","Ministry of Environment and Renewable Energy","Government agency","International Union for Conservation of Nature (IUCN)","Sweden","Europe","Sweden","Government agency","Transport & Storage","V8d1swmbSC3m48GC","Global Energy Efficiency and Renewable Energy Fund (GEEREF)","Multi Donor Regional","8","1","D01","22000","0","2","1","1","1","1","0","1","0","0","3","7","83","15","91","110","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Clean-up","Non-circular Pathways","49","189"
"48","public finance","Development Finance","2019","2022","Spain","Europe","High income","1","1","0","1","UNEP","Regional Government","The United Nations Environment Programme (UNEP)","UNEP","Africa","Kenya","National Institute","Transport & Storage","gv6T6GWuFvqYhB4p","Global Climate Change Alliance (GCCA)","Multi Donor Regional","1","0","B04","11001","1",,"0","0","1","1","0","0","1","0","32","43","5","64","87","256","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Research and Development","Supporting Pathways","30","61"
"49","public finance","Development Finance","2021","2021","Kenya","Africa","Lower middle income","0","0","0","0","Economic Affairs and Investment Division Ministry of Finance","Regional agency","World Bank","Sweden","Europe","Sweden","Non-profit organization","Transport & Storage","PrcVMy1hKAbIEYJB","Forest Investment Program (FIP)","Multilateral","7","1","B03","11001","0","2","1","0","0","1","0","0","1","1","67","69","30","78","29","877","10/10/2024 16:12:52","10/10/2024 16:12:52","Central Government","Recovery for controlled disposal","Non-circular Pathways","37","104"
"50","public finance","MEA Finance","2018","2018","Fiji","Oceania","Upper middle income","1","0","0","1","Ministry of Environment and Renewable Energy","Government agency","World Bank","Sweden","Europe","Sweden","Intergovernmental Organisation","Transport & Storage","YCLC5CXBO2rs6ulr","Forest Investment Program (FIP)","Multilateral","7","1","E01","41107",,"0","1","0","0","0","0","1","1","0","29","63","90","85","25","940","10/10/2024 16:12:52","10/10/2024 16:12:52","United Nations agency, fund or commission","Other Services","Supporting Pathways","78","119"
"51","private finance","Private Finance","2023","2020","Ethiopia","Africa","Upper middle income","0","0","1","0","Economic Affairs and Investment Division Ministry of Finance","Non-profit regional funds","World Bank","Sweden","Europe","Sweden","Non-profit regional funds","Transport & Storage","guANG3gTS6Uz1Mcd","Global Climate Change Alliance (GCCA)","Multi Donor Regional","8","1","D02","11001","2","1",,"1","0","1","1","1","1","1","11","59","29","9","56","118","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Circular Use","Circular Pathways","84","176"
"52","public finance","Domestic Finance","2020","2022","Australia","Oceania","High income","1","0","0","0","Economic Affairs and Investment Division Ministry of Finance","Non-profit organization","World Bank","Sweden","Europe","Sweden","Regional agency","Post-Secondary Education","eiEuyJfLheEsyChn","Amazon Fund","Multi Donor National","4","1","C01","41107","1","0",,"0","0","1","1","0","1","0","86","93","18","38","37","369","10/10/2024 16:12:52","10/10/2024 16:12:52","Individuals and Family Offices","Incineration","Non-circular Pathways","29","80"
"53","public finance","MEA Finance","2020","2021","Argentina","Latin America and the Caribbean","Upper middle income","0","1","1","1","Ministry of Environment and Renewable Energy","Government agency","The United Nations Environment Programme (UNEP)","South Korea","Asia","South Korea","Non-profit regional funds","Water Supply & Sanitation","8vBIsK3xWHOTIVYY","Global Climate Change Alliance (GCCA)","Multilateral","7","0","D01","11001","1","1","0","1","1","0","1","1","0","1","36","73","84","31","58","550","10/10/2024 16:12:52","10/10/2024 16:12:52","Institutional Investors","Plastic Waste-to-Fuel","Non-circular Pathways","94","185"
"54","private finance","Private Finance","2018","2018","Indonesia","Asia","Upper middle income","0","0","1","0","UNEP","Foundation","World Bank","Sweden","Europe","Sweden","Regional Development Bank","Water Supply & Sanitation","XAlBmnZ5DVzWm04P","Global Environment Facility (GEF4)","Multilateral","8","0","B03","41107","1","0","2","1","0","0","0","1","1","0","87","22","60","66","14","918","10/10/2024 16:12:52","10/10/2024 16:12:52","Private Corporations","Plastic Waste-to-Fuel","Non-circular Pathways","160","100"
